stop_id,out_degree,stop_name,stop_lat,stop_lon
LTFRB_1784,13,"Quezon Bridge, Manila",14.5952,120.981
LTFRB_1794,12,"Ramon Magsaysay Blvd, Manila",14.6012,120.999
LTFRB_1742,11,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5376,121.0
LTFRB_1522,11,"España Blvd / Nicanor Reyes St Intersection, Manila",14.6056,120.988
LTFRB_1259,11,"Epifanio de los Santos Avenue, Quezon City",14.6536,121.032
LTFRB_1714,10,"Senator Gil Puyat Ave, Makati City",14.5549,121.0
LTFRB_842,10,"Commonwealth Avenue / IBP Road Intersection, Quezon City",14.6997,121.087
LTFRB_1712,10,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",14.5529,120.992
LTFRB_1645,10,"Taft Ave, Manila",14.5908,120.981
LTFRB_2622,9,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",14.4194,121.046
LTFRB_1677,9,"President Quirino Ave / Taft Ave Intersection, Manila",14.5703445188,120.9919166565
LTFRB_1419,9,"Ferdinand Blumentritt / Aurora Boulevard Intersection, Quezon City",14.6253,120.987
LTFRB_1511,9,"Quezon Blvd / P.Paredes Intersection, Manila",14.6073,120.986
LTFRB_2904,9,"South Luzon Expressway, Taguig City, Manila",14.5071,121.035
LTFRB_2301,9,"Roxas Blvd / Redemptorist Road Intersection, Parañaque City, Manila",14.532,120.993
LTFRB_4974,9,Ayala MRT,14.5492,121.028
LTFRB_1660,9,T.M. Kalaw / Maria Y. Orosa St,14.582,120.981
LTFRB_1699,8,"Rizal Memorial Track and Football Stadium, M Adriatico, Manila",14.5631,120.991
LTFRB_2897,8,"DBP Ave, Taguig City, Manila, Manila",14.5058,121.038
LTFRB_1468,8,"Camarines, Manila",14.6181,120.984
LTFRB_1676,8,"Taft Ave, Manila",14.5742,120.989
LTFRB_1525,8,"Claro M. Recto Ave / Quezon Blvd Intersection, Manila",14.6031,120.985
LTFRB_1440,8,"Light Rail Transportation / New Antipolo, Quezon City",14.6226,120.983
LTFRB_1644,8,"Padre Burgos St, Manila",14.5938,120.979
LTFRB_1620,8,"Jones Bridge / Riverside Dr Intersection, Manila",14.5953,120.978
LTFRB_617,8,"Ramirez / Quirino Highway, Caloocan City",14.7219,121.04
LTFRB_1621,8,"McArthur Bridge , Manila",14.5959,120.98
LTFRB_2882,7,"South Luzon Expressway, Muntinlupa City, Manila",14.4582,121.045
LTFRB_3172,7,"Sheridan / United Street, Mandaluyong City, Manila",14.5765,121.056
LTFRB_2358,7,"NAIA Rd, Parañaque City, Manila",14.516,121.003
LTFRB_3185,7,"Meralco Ave, Pasig City, Manila",14.5815,121.064
LTFRB_1243,7,"Epifanio de los Santos Avenue / Bulacan Intersection, Quezon City",14.6556,121.029
LTFRB_1140,7,"North Luzon Expressway / Epifanio de los Santos Avenue Intersection, Caloocan City",14.6573,121.0
LTFRB_1925,7,"Antonio Arnaiz Ave / P.Zamora Intersection, Manila",14.5481,121.001
LTFRB_4484,7,"Maria Y. Orosa St, Manila",14.5832,120.981
LTFRB_1499,7,"Instruccion / Espana Boulevard Intersection, Manila",14.615,120.999
