route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops,route_id,a_route_short_name,a_route_long_name,b_route_id,b_route_short_name,b_route_long_name
LTFRB_PUJ1218,,Cogeo - Cubao via Marcos Hi-way,LTFRB_PUJ1219,,Cogeo - Cubao via Marcos Hi-way,jaccard,1.0,58,58,58,LTFRB_PUJ1218,,Cogeo - Cubao via Marcos Hi-way,LTFRB_PUJ1219,,Cogeo - Cubao via Marcos Hi-way
LTFRB_PUJ1912,,MALINTA - MALOLOS,LTFRB_PUJ1913,,MALINTA - MALOLOS,jaccard,1.0,63,63,63,LTFRB_PUJ1912,,MALINTA - MALOLOS,LTFRB_PUJ1913,,MALINTA - MALOLOS
LTFRB_PUJ2105,,ARROCEROS - CUBAO YALE,LTFRB_PUJ2106,,ARROCEROS - CUBAO YALE,jaccard,1.0,32,32,32,LTFRB_PUJ2105,,ARROCEROS - CUBAO YALE,LTFRB_PUJ2106,,ARROCEROS - CUBAO YALE
LTFRB_PUJ1376,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road,LTFRB_PUJ1377,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road,jaccard,1.0,18,18,18,LTFRB_PUJ1376,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road,LTFRB_PUJ1377,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road
LTFRB_PUJ1498,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",LTFRB_PUJ1499,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",jaccard,1.0,38,38,38,LTFRB_PUJ1498,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",LTFRB_PUJ1499,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang"
LTFRB_PUJ2029,,BUENDIA LRT - SM MOA,LTFRB_PUJ2030,,BUENDIA LRT - SM MOA,jaccard,1.0,5,5,5,LTFRB_PUJ2029,,BUENDIA LRT - SM MOA,LTFRB_PUJ2030,,BUENDIA LRT - SM MOA
LTFRB_PUJ1430,,Malinta - Bocaue via McArthur Hi-way,LTFRB_PUJ1431,,Malinta - Bocaue via McArthur Hi-way,jaccard,1.0,50,50,50,LTFRB_PUJ1430,,Malinta - Bocaue via McArthur Hi-way,LTFRB_PUJ1431,,Malinta - Bocaue via McArthur Hi-way
LTFRB_PUJ1657,,"Monumento - Polo via Acacia, M.H. del Pilar",LTFRB_PUJ1658,,"Monumento - Polo via Acacia, M.H. del Pilar",jaccard,1.0,31,31,31,LTFRB_PUJ1657,,"Monumento - Polo via Acacia, M.H. del Pilar",LTFRB_PUJ1658,,"Monumento - Polo via Acacia, M.H. del Pilar"
LTFRB_PUJ1648,,Silang - Zapote (Las Pinas),LTFRB_PUJ1649,,Silang - Zapote (Las Pinas),jaccard,1.0,96,96,96,LTFRB_PUJ1648,,Silang - Zapote (Las Pinas),LTFRB_PUJ1649,,Silang - Zapote (Las Pinas)
LTFRB_PUJ2025,,BUENDIA LRT TAFT - MALL OF ASIA,LTFRB_PUJ2026,,BUENDIA LRT TAFT - MALL OF ASIA,jaccard,1.0,6,6,6,LTFRB_PUJ2025,,BUENDIA LRT TAFT - MALL OF ASIA,LTFRB_PUJ2026,,BUENDIA LRT TAFT - MALL OF ASIA
LTFRB_PUJ2311,,Brgy Bagong Silangan Sampaguita via Marcos Ave,LTFRB_PUJ2312,,Brgy Bagong Silangan Sampaguita via Marcos Ave,jaccard,1.0,9,9,9,LTFRB_PUJ2311,,Brgy Bagong Silangan Sampaguita via Marcos Ave,LTFRB_PUJ2312,,Brgy Bagong Silangan Sampaguita via Marcos Ave
LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,jaccard,1.0,23,23,23,LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros
LTFRB_PUJ2313,,Cash & Carry Buendia LRT,LTFRB_PUJ2314,,Cash & Carry Buendia LRT,jaccard,1.0,10,10,10,LTFRB_PUJ2313,,Cash & Carry Buendia LRT,LTFRB_PUJ2314,,Cash & Carry Buendia LRT
LTFRB_PUJ2071,,BACLARAN - ZAPOTE BACOOR,LTFRB_PUJ2072,,BACLARAN - ZAPOTE BACOOR,jaccard,1.0,34,34,34,LTFRB_PUJ2071,,BACLARAN - ZAPOTE BACOOR,LTFRB_PUJ2072,,BACLARAN - ZAPOTE BACOOR
