origin_id,origin_name,destination_id,destination_name,pt_time_seconds,driving_time_seconds,driving_distance_meters,time_difference_seconds,pt_vs_driving_comparison,pt_time_formatted,driving_time_formatted
LTFRB_2514,LTFRB_2514,LTFRB_3962,LTFRB_3962,21404.0,4984.0,92254.0,16420.0,274 min Driving Faster,357 min,83 min
LTFRB_2500,LTFRB_2500,LTFRB_3999,LTFRB_3999,21190.0,6119.0,85942.0,15071.0,251 min Driving Faster,353 min,102 min
LTFRB_2777,LTFRB_2777,LTFRB_3915,LTFRB_3915,20957.0,4307.0,76377.0,16650.0,278 min Driving Faster,349 min,72 min
LTFRB_2820,LTFRB_2820,LTFRB_3913,LTFRB_3913,18579.0,3637.0,67561.0,14942.0,249 min Driving Faster,310 min,61 min
LTFRB_2691,LTFRB_2691,LTFRB_3957,LTFRB_3957,18530.0,4889.0,71405.0,13641.0,227 min Driving Faster,309 min,81 min
LTFRB_2767,LTFRB_2767,LTFRB_460,LTFRB_460,18426.0,4687.0,69530.0,13739.0,229 min Driving Faster,307 min,78 min
LTFRB_2576,LTFRB_2576,LTFRB_3968,LTFRB_3968,18334.0,4345.0,69470.0,13989.0,233 min Driving Faster,306 min,72 min
LTFRB_2460,LTFRB_2460,LTFRB_784,LTFRB_784,18324.0,4744.0,82067.0,13580.0,226 min Driving Faster,305 min,79 min
LTFRB_4181,LTFRB_4181,LTFRB_4825,LTFRB_4825,17742.0,4503.0,65899.0,13239.0,221 min Driving Faster,296 min,75 min
LTFRB_2704,LTFRB_2704,LTFRB_3928,LTFRB_3928,17647.0,5020.0,70611.0,12627.0,210 min Driving Faster,294 min,84 min
