route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops
LTFRB_PUJ1218,,Cogeo - Cubao via Marcos Hi-way,LTFRB_PUJ1219,,Cogeo - Cubao via Marcos Hi-way,jaccard,1.0,58,58,58
LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,jaccard,1.0,23,23,23
LTFRB_PUJ1986,,CUBAO - WELCOME ROTONDA,LTFRB_PUJ1987,,CUBAO - WELCOME ROTONDA,jaccard,1.0,18,18,18
LTFRB_PUJ2546,,Meycauayan Plaridel,LTFRB_PUJ2547,,Meycauayan Plaridel,jaccard,1.0,49,49,49
LTFRB_PUJ2450,,Alabang-Bbayan via Bicutan,LTFRB_PUJ2451,,Alabang-Bbayan via Bicutan,jaccard,1.0,20,20,20
LTFRB_PUJ1290,,Divisoria - Gastambide via Morayta,LTFRB_PUJ1291,,Divisoria - Gastambide via Morayta,jaccard,1.0,11,11,11
LTFRB_PUJ2553,,Monumento Bocaue,LTFRB_PUJ2554,,Monumento Bocaue,jaccard,1.0,81,81,81
LTFRB_PUJ1555,,"Proj. 2 & 3 - Q. Mart via Anonas, Kamias",LTFRB_PUJ1865,,PROJ 2&3-QMART,jaccard,1.0,16,16,16
LTFRB_PUJ1294,,Divisoria - Tayuman via Dagupan,LTFRB_PUJ1295,,Divisoria - Tayuman via Dagupan,jaccard,1.0,7,7,7
LTFRB_PUJ1308,,EDSA/SSH - Sucat via SSH,LTFRB_PUJ1309,,EDSA/SSH - Sucat via SSH,jaccard,1.0,26,26,26
LTFRB_PUJ1550,,"Proj. 2 & 3 - Recto via Kamuning, E. Rodriguez",LTFRB_PUJ1551,,"Proj. 2 & 3 - Recto via Kamuning, E. Rodriguez",jaccard,1.0,49,49,49
LTFRB_PUJ1037,,Alabang - Sucat via Cupang (East Service Rd.),LTFRB_PUJ1038,,Alabang - Sucat via Cupang (East Service Rd.),jaccard,1.0,11,11,11
LTFRB_PUJ1312,,EDSA/Shaw Central - Kalentong/JRC,LTFRB_PUJ1313,,EDSA/Shaw Central - Kalentong/JRC,jaccard,1.0,10,10,10
LTFRB_PUJ1838,,bagui,LTFRB_PUJ2140,,TAYTAY-PASIG PALENGKE,jaccard,1.0,47,47,47
LTFRB_PUJ1028,,Alabang - Muntinlupa Bilibid Prison via Katarungan Village,LTFRB_PUJ1828,,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,jaccard,1.0,27,27,27
LTFRB_PUJ1708,,MUNOZ-VISAYAS AVE,LTFRB_PUJ1709,,MUNOZ-VISAYAS AVE,jaccard,1.0,14,14,14
LTFRB_PUJ2557,,Monumento Malanday,LTFRB_PUJ2558,,Monumento Malanday,jaccard,1.0,36,36,36
LTFRB_PUJ2371,,Old Pque Bldg San Antonio Valley,LTFRB_PUJ2372,,Old Pque Bldg San Antonio Valley,jaccard,1.0,12,12,12
LTFRB_PUJ1025,,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",LTFRB_PUJ1026,,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",jaccard,1.0,25,25,25
LTFRB_PUJ1630,,Calamba (TP) -San Pedro National Road,LTFRB_PUJ1631,,Calamba (TP) -San Pedro National Road,jaccard,1.0,39,39,39
LTFRB_PUJ1634,,"Cogeo - Paenaan via Padilla, Marcos Hi-way",LTFRB_PUJ1635,,"Cogeo - Paenaan via Padilla, Marcos Hi-way",jaccard,1.0,30,30,30
LTFRB_PUJ2008,,CRAME - SAN JUAN via PINAGLABANAN,LTFRB_PUJ2009,,CRAME - SAN JUAN via PINAGLABANAN,jaccard,1.0,7,7,7
LTFRB_PUJ2353,,Nagtahan RTDA Pandacan,LTFRB_PUJ2354,,Nagtahan RTDA Pandacan,jaccard,1.0,4,4,4
LTFRB_PUJ2351,,Montalban Wawa,LTFRB_PUJ2352,,Montalban Wawa,jaccard,1.0,15,15,15
LTFRB_PUJ1970,,DIVISORIA - NORTH PIER via MORIONES,LTFRB_PUJ1971,,DIVISORIA - NORTH PIER via MORIONES,jaccard,1.0,14,14,14
LTFRB_PUJ1284,,Divisoria - San Juan,LTFRB_PUJ1285,,Divisoria - San Juan,jaccard,1.0,25,25,25
LTFRB_PUJ1276,,Divisoria - Pier North via Del Pan,LTFRB_PUJ1277,,Divisoria - Pier North via Del Pan,jaccard,1.0,10,10,10
LTFRB_PUJ1057,,Arroceros - Roxas Dist. Via Espana,LTFRB_PUJ1058,,Arroceros - Roxas Dist. Via Espana,jaccard,1.0,19,19,19
LTFRB_PUJ1894,,MONTALBAN - MARCOS AVE via LITEX,LTFRB_PUJ1895,,MONTALBAN - MARCOS AVE via LITEX,jaccard,1.0,43,43,43
LTFRB_PUJ1134,,Balintawak - Frisco,LTFRB_PUJ1135,,Balintawak - Frisco,jaccard,1.0,24,24,24
LTFRB_PUJ1132,,Balintawak - Camarin via Susano,LTFRB_PUJ1133,,Balintawak - Camarin via Susano,jaccard,1.0,60,60,60
LTFRB_PUJ1130,,Balintawak - Blumentritt,LTFRB_PUJ1131,,Balintawak - Blumentritt,jaccard,1.0,18,18,18
LTFRB_PUJ1616,,Munoz - Luzon,LTFRB_PUJ1617,,Munoz - Luzon,jaccard,1.0,18,18,18
LTFRB_PUJ1930,,IBP ROAD - LUPANG PANGAKO via LITEX ROAD,LTFRB_PUJ1931,,IBP ROAD - LUPANG PANGAKO via LITEX ROAD,jaccard,1.0,16,16,16
LTFRB_PUJ2522,,Lagro-SM Fairview,LTFRB_PUJ2523,,Lagro-SM Fairview,jaccard,1.0,12,12,12
LTFRB_PUJ1914,,MALINTA - KAYBIGA,LTFRB_PUJ1915,,MALINTA - KAYBIGA,jaccard,1.0,26,26,26
LTFRB_PUJ1228,,Cubao - Proj. 4 via P. Tuazon,LTFRB_PUJ1229,,Cubao - Proj. 4 via P. Tuazon,jaccard,1.0,13,13,13
LTFRB_PUJ2520,,Karuhatan Monumento,LTFRB_PUJ2521,,Karuhatan Monumento,jaccard,1.0,18,18,18
LTFRB_PUJ1932,,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,LTFRB_PUJ1933,,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,jaccard,1.0,14,14,14
LTFRB_PUJ1600,,Tanza - Zapote (Las Pinas) via Aguinaldo Hi-way,LTFRB_PUJ1601,,Tanza - Zapote (Las Pinas) via Aguinaldo Hi-way,jaccard,1.0,10,10,10
LTFRB_PUJ1142,,Balintawak - PUC via BAESA,LTFRB_PUJ1143,,Balintawak - PUC via BAESA,jaccard,1.0,22,22,22
LTFRB_PUJ1598,,"Golden City Subd. - Molino Market via Talon, Molino Rd.",LTFRB_PUJ1599,,"Golden City Subd. - Molino Market via Talon, Molino Rd.",jaccard,1.0,50,50,50
LTFRB_PUJ1880,,NOVA-DEPARO,LTFRB_PUJ1881,,NOVA-DEPARO,jaccard,1.0,25,25,25
LTFRB_PUJ1590,,Sucat Hi-way - Bagumbayan,LTFRB_PUJ1591,,Sucat Hi-way - Bagumbayan,jaccard,1.0,10,10,10
