stop_id,total_degree,stop_name,stop_lat,stop_lon
LTFRB_1742,23,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5376,121.0
LTFRB_1645,21,"Taft Ave, Manila",14.5908,120.981
LTFRB_1522,20,"España Blvd / Nicanor Reyes St Intersection, Manila",14.6056,120.988
LTFRB_1712,20,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",14.5529,120.992
LTFRB_1794,20,"Ramon Magsaysay Blvd, Manila",14.6012,120.999
LTFRB_1677,19,"President Quirino Ave / Taft Ave Intersection, Manila",14.5703445188,120.9919166565
LTFRB_1621,19,"McArthur Bridge , Manila",14.5959,120.98
LTFRB_1419,18,"Ferdinand Blumentritt / Aurora Boulevard Intersection, Quezon City",14.6253,120.987
LTFRB_1660,18,T.M. Kalaw / Maria Y. Orosa St,14.582,120.981
LTFRB_2622,17,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",14.4194,121.046
LTFRB_1784,17,"Quezon Bridge, Manila",14.5952,120.981
LTFRB_842,17,"Commonwealth Avenue / IBP Road Intersection, Quezon City",14.6997,121.087
LTFRB_4974,17,Ayala MRT,14.5492,121.028
LTFRB_1714,17,"Senator Gil Puyat Ave, Makati City",14.5549,121.0
LTFRB_1259,16,"Epifanio de los Santos Avenue, Quezon City",14.6536,121.032
LTFRB_1620,16,"Jones Bridge / Riverside Dr Intersection, Manila",14.5953,120.978
LTFRB_2246,16,"Kalayaan Ave / Elliptical Rd Intersection, Quezon City, Manila",14.6487,121.051
LTFRB_2904,16,"South Luzon Expressway, Taguig City, Manila",14.5071,121.035
LTFRB_1778,15,"Quezon Blvd, Manila",14.5974,120.984
LTFRB_1525,15,"Claro M. Recto Ave / Quezon Blvd Intersection, Manila",14.6031,120.985
LTFRB_2301,15,"Roxas Blvd / Redemptorist Road Intersection, Parañaque City, Manila",14.532,120.993
LTFRB_1468,15,"Camarines, Manila",14.6181,120.984
LTFRB_1243,15,"Epifanio de los Santos Avenue / Bulacan Intersection, Quezon City",14.6556,121.029
LTFRB_1511,15,"Quezon Blvd / P.Paredes Intersection, Manila",14.6073,120.986
LTFRB_2897,15,"DBP Ave, Taguig City, Manila, Manila",14.5058,121.038
LTFRB_617,15,"Ramirez / Quirino Highway, Caloocan City",14.7219,121.04
LTFRB_1440,15,"Light Rail Transportation / New Antipolo, Quezon City",14.6226,120.983
