origin,origin_stop_name,destination,dest_stop_name,travel_time_formatted,num_transfers,path_length_stops,travel_time_seconds
LTFRB_3212,"Capt. Henry P. Javier / St.Martin Intersection, Pasig City, Manila",LTFRB_717,"Paso de Blas, Valenzuela City",01:43:52,10,81,6232.0
LTFRB_3386,"Manila Road East / Talisay Intersection, Taytay, Manila",LTFRB_3439,"Ortigas Avenue Extension, Cainta, Manila",00:24:49,1,20,1489.0
LTFRB_1879,"Pedro Gil, Manila",LTFRB_4735,"Road 10, Quezon City",00:55:15,10,40,3315.0
LTFRB_1102,"Congressional Avenue / San Miguel Intersection, Quezon City",LTFRB_3821,"Opal St / Diamond St Intersection, Marikina City, Manila",00:52:16,4,41,3136.0
LTFRB_1757,"Tramo, Lungsod ng Pasay",LTFRB_312,"C. Cordero Street / 4th Avenue West Intersection, Caloocan City",01:10:09,9,44,4209.0
LTFRB_3171,"Reliance St, Mandaluyong City, Manila",LTFRB_4213,"Epifanio de los Santos Av / Aurora Blvd, Quezon City, Manila",00:29:00,3,25,1740.0
LTFRB_11,"Our Lady Manaoag College/ ELCO Lumber Corp., MacArthur Highway, Balagtas",LTFRB_1743,"Taft Ave, Lungsod ng Pasay",02:46:44,15,113,10004.0
LTFRB_2009,"South Ave / Pablo Ocampo Sr. Extension, Makati City, Manila",LTFRB_261,"Dagohoy, Malabon City",01:09:32,9,41,4172.0
LTFRB_4443,"Emaculate Conception Cathedral Parish, Vancouver / Lantana St, Quezon City, Manila",LTFRB_4640,"Salcedo, Makati City",00:59:23,12,47,3563.0
LTFRB_1003,"St Peter Chapels, Commonwealth Avenue, Quezon City",LTFRB_1707,"Vicente Sotto, Lungsod ng Pasay, Manila",01:26:02,16,61,5162.0
LTFRB_154,"J. P Rizal / Pantay - Bituin Intersection, Obando",LTFRB_3023,"Dr Sixto Antonio Ave, Pasig City, Manila",02:11:46,16,88,7906.0
LTFRB_2448,"Emilio Aguinaldo Hwy, Lungsod ng Dasmariñas, Manila",LTFRB_539,"Camarin Road, Caloocan City",04:34:47,19,185,16487.0
LTFRB_2878,"National Hwy, Muntinlupa City, Manila",LTFRB_4998,Pandacan PNR,Infinite,-1,0,inf
LTFRB_1365,"Santo Domingo Church, Quezon Avenue, Quezon City",LTFRB_4562,"Daang Reyna, Montinlupa City",02:44:08,17,69,9848.0
